,Unnamed: 0,Winery,Wine,Rating,Num_Reviews,Price,Country,Region,Year,Tipo,Zona,Maridaje
146,193,Finca Venta de Don Quijote,Tango Rojo Syrah 2022,3.2,159,4.6,España,La Mancha,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
147,194,Pagos de Aráiz,Navarra Tinto Roble 2021,3.6,2060,4.6,España,Navarra,2021,tinto,Norte (España),"Chuletas de cordero, Chistorra"
148,196,Séptimo Sentido,Verdejo 2023,3.6,27,4.6,España,Castilla,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
149,197,Finca Venta de Don Quijote,Tango Rojo Verdejo 2023,3.4,46,4.6,España,Castilla,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
150,198,Bach,Cava Rosé Brut N.V.,3.1,560,4.61,España,Cava,N.V.,rosado,Norte (España),"Piquillos rellenos de marisco, Merluza a la vasca"
151,200,Ojos del Guadiana,Verdejo 2022,3.6,228,4.66,España,La Mancha,2022,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
152,201,Viña Xétar,Mosto Parcialmente Fermentado Blanco 2022,3.7,159,4.66,España,Castilla,2022,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
153,202,Corcovo - Megía e Hijos,Tempranillo Rosado 2022,3.7,134,4.66,España,Valdepeñas,2022,tinto,Centro (España),"Cordero asado, Queso manchego"
154,203,Celler Batea,Torre del Moro Criança Tinto 2020,3.5,194,4.67,España,Terra Alta,2020,tinto,Norte (España),"Chuletas de cordero, Chistorra"
155,204,Campo Viejo,Semidulce 2022,3.8,2533,4.69,España,Rioja,2022,dulce,Norte (España),"Queso azul, Tarta de Santiago"
156,205,Infinitus,Syrah 2023,3.1,916,4.7,España,Castilla,2023,tinto,Centro (España),"Cordero asado, Queso manchego"
157,206,Yllera,Viña 65 Verdejo 2023,3.5,805,4.7,España,Rueda,2023,blanco,Centro (España),"Cochinillo asado, Ensalada de pimientos y ventresca"
