Winery,Wine,Rating,num_reviews,Price,Country
Bodegas Zinio,Terroir de Zinio Garnacha,3.6,995,6.5,
Bodegas Javier San Pedro Ortega,Cueva de Lobos Crianza,3.8,83,6.5,
Juan Manuel Burgos,Avan Oak Roble,3.6,59,6.5,
Alcorta,Crianza Tempranillo,3.2,5028,6.51,
Castaño,Monastrell,3.3,1596,6.52,
Celler Cooperatiu d'Espolla,Vinya Orlina Tinto,3.0,289,6.55,
Paramo Arroyo,Eremus Tempranillo Joven,3.5,349,6.55,
Vinicola de Castilla,Señorío de Guadianeja Syrah,3.6,86,6.55,
Rigau Ros,Criança,3.6,45,6.55,
Duc de Foix,Merlot,2.8,110,6.55,
Celler Cooperatiu d'Espolla,Babalà - Vi Negre Eixerit,3.2,193,6.56,
Bodegas Javier San Pedro Ortega,Cueva de Lobos Crianza,3.7,1527,6.6,
Martí Serdà,Vinyet Tinto,3.4,462,6.6,
Sumarroca,Nostrat Noir de Noirs,3.5,144,6.6,
Sierra Salinas,MO Monastrell,3.7,145,6.6,
Cellers Tarroné,Merian Negre,3.4,218,6.6,
Neo,El Arte de Vivir,3.4,1145,6.61,
Monteabellon,A Cappela Joven,3.5,236,6.62,
Pinord,Càtar Montsant,3.5,134,6.62,
Viniric,Vella Lola Negre,3.8,40,6.62,
Murviedro,Galeam Monastrell,3.7,468,6.63,
Señorío de Nava,Ribera del Duero Roble,3.6,33,6.63,
Juan Gil,Jumilla Yellow Label,3.9,401,6.63,
Bodegas Franco-Españolas,Rioja Bordón Crianza,3.8,593,6.64,
Zuazo Gaston,Crianza,3.7,45,6.65,
Bodegas Lagunilla,Crianza,3.5,118,6.65,
Caves Bolet,Cantarelus,3.3,161,6.65,
Finca Antigua,Tempranillo,3.6,830,6.65,
Sant Josep,Plana d’En Fonoll Syrah,3.4,141,6.65,
Vizar,Tempranillo,3.6,1630,6.65,
Laus,Crianza,3.7,25,6.65,
Particular,Garnacha Old Vine,3.7,2167,6.65,
Atalaya,Laya,3.9,771,6.65,
Finca Antigua,Garnacha,3.6,407,6.65,
Corcovo - Megía e Hijos,Syrah,3.7,29,6.66,
Hacienda López de Haro,Tempranillo,3.7,25,6.69,
Juan Gil,Jumilla Yellow Label,3.9,82,6.7,
Viore,Garnacha Tinta,3.4,93,6.7,
Bodega Iniesta,Corazón Loco Tinto,3.4,3004,6.73,
Oliver Conti,Indispensable Negre,3.5,1323,6.75,
Viña Zorzal,Garnacha,3.8,26,6.75,
Bodegas Olarra,Añares Crianza Rioja,3.8,68,6.75,
Félix Solís,Mucho Más Tinto - Black Edition,4.1,5662,6.75,
Ceremonia,Reserva de Autor (20th Anniversary Edition),3.6,281,6.75,
Rosa Maria Torres,El Xafarder Tinto,3.4,139,6.79,
Ladrón de Lunas,Crianza Bobal,3.4,30,6.8,
Monólogo,Crianza,3.6,372,6.8,
Castro Ventosa,El Castro de Valtuille Mencía Joven,3.8,150,6.8,
Luzon,Colección Monastrell,3.8,154,6.8,
Bodegas Olarra,Añares Crianza Rioja,3.6,519,6.8,
Vega Real,Ribera del Duero Roble,3.3,3832,6.8,
Conde de Siruela,Tinto Joven,3.4,321,6.8,
Campo Viejo,Crianza,3.6,543,6.8,
Pinord,Taanug Crianza Cabernet Sauvignon - Merlot,3.4,197,6.82,
Cune (CVNE),Crianza,3.7,3925,6.84,
Pinord,Clos de Torribas Crianza Tempranillo,3.6,307,6.84,
Viore,Mencia,3.5,451,6.85,
Familia Montaña,Finca La Valentina Montaña Crianza,3.9,2138,6.85,
Celler de Sanui,El Petit de Sanui Negre,3.5,28,6.85,
Marques de Vitoria,Rioja Crianza,3.9,1355,6.85,
Volver,Madame Bobalu Bobal,3.7,1313,6.85,
Arnegui,Crianza Rioja,3.8,218,6.85,
Cavas Hill,Gran Civet Crianza,3.2,231,6.87,
Celler Cooperatiu d'Espolla,Panissars  Negre,3.2,355,6.87,
Finca Nueva,Rioja,3.9,68,6.87,
Celler Piñol,Raig de Raïm Negre,3.7,82,6.88,
Castillo de Aresan,Syrah,3.5,103,6.88,
El Miracle,120 Anniversary Tinto,3.3,2106,6.89,
Bodegas Fontana,Oveja Tinta Graciano - Malbec,3.7,107,6.9,
Martin Berasategui,Los Cuatro Vientos,3.8,36,6.9,
Volver,4 Meses Red,3.7,475,6.9,
Bodegas Fontana,Dominio de Fontana Crianza Tempranillo - Cabernet Sauvignon,3.9,29,6.9,
Bodegas Latúe,Clearly Organic Tempranillo,3.4,39,6.9,
Bodega Pirineos,Señorío de Lazán Crianza,3.8,96,6.9,
Bodegas Faustino,Crianza,3.7,129,6.9,
Hacienda Zorita Natural Reserve,Crianza,3.6,100,6.9,
Pata Negra,Crianza Tempranillo,3.7,834,6.9,
Bodegas Asenjo & Manso,AM3 Ribera del Duero,3.7,1029,6.9,
Volver,Paso a Paso Tempranillo,3.6,4853,6.9,
La Casa de Lúculo,Cátulo Tempranillo,3.4,202,6.9,
Fuentespina,3 Meses,3.5,180,6.9,
Volver,Tarima Organic,3.7,6786,6.9,
Alcorta,Roble,3.6,43,6.9,
Lagravera,Laltre,3.7,165,6.9,
Volver,Paso a Paso Tempranillo - Graciano,3.8,388,6.9,
Pittacum,Petit Pittacum,3.6,6335,6.9,
Volver,Paso a Paso Tempranillo,3.7,107,6.9,
Bodega Pirineos,Principio Moristel,3.8,817,6.9,
Pago Aylés,Unexpected Garnacha,4.0,137,6.9,
Pío del Ramo,Tinto Roble,3.7,361,6.91,
Linea Kármán,Tinto,3.7,786,6.91,
Terra Terrae,Negre,3.4,111,6.92,
Bodegas Lagunilla,Crianza,3.7,61,6.95,
Castillo de Osés,La Choza Crianza,3.5,353,6.95,
Bodegas Orán,Flor del Señorío de Õran,3.7,558,6.95,
Bodegas Cosme Palacio,Glorioso  Rioja Crianza,3.6,16896,6.95,
Cuatro Pasos,Pizarras de Otero Mencia,3.6,41,6.95,
Sinforiano,Sinfo Viñas Viejas Tinto Roble,3.5,366,6.95,
Codorníu,Impulso Crianza,3.5,55,6.95,
Venta La Vega - Bodegas Almanseñas,Kalizo Sin Sulfitos,3.3,42,6.95,
Raimat,Abadia Cabernet Sauvignon - Tempranillo,3.6,279,6.95,
